窗口名称,菜品,价格,味道评价
朝阳洲.牛肉粉面,肉酱面,11元, 肉酱浓郁咸香，拌开入味，口感扎实，招牌必试
朝阳洲.牛肉粉面,肉酱面,13元,肉香绵密，油香适中，不腻，拌面很香
朝阳洲.牛肉粉面,南昌拌粉,6元,清爽开胃，简单香辣，性价比很高
朝阳洲.牛肉粉面,飘香拌粉,6元,葱油香气突出，咸淡适中，清爽口首选
朝阳洲.牛肉粉面,葱油拌面,7元,葱香浓郁，面条筋道，少油不腻
朝阳洲.牛肉粉面,芝麻酱拌面,8元,醇厚香味，口感绵密，喜欢浓郁口选它
朝阳洲.牛肉粉面,火鸡面拌面,8元,甜辣口味，劲道过瘾，能吃辣推荐
朝阳洲.牛肉粉面,雪菜肉丝拌面,10元,雪菜鲜爽，肉丝不多，咸鲜下饭
朝阳洲.牛肉粉面,豌杂拌面,10元,豌豆软糯，杂酱咸香，川味风格
朝阳洲.牛肉粉面,农家小炒肉拌面,11元,香辣入味，肉香足，偏重口
朝阳洲.牛肉粉面,椒麻鸡丝拌面,11元,麻香清爽，鸡丝嫩，微辣不呛
朝阳洲.牛肉粉面,湘味辣子鸡拌面,11元,香辣够劲，鸡肉紧实，爱吃辣首选
朝阳洲.牛肉粉面,蟹酱肉拌面,13元,蟹香浓郁，口感醇厚，口味偏鲜
朝阳洲.牛肉粉面,炖黄牛肉拌面,14元,牛肉大块，汤底醇厚，招牌
老芋头.麻辣拌,麻辣烫（骨汤）,1.78元/50克,骨汤醇厚鲜香，口味温和，辣度可选择，食材取满汤汁，不吃辣也能吃。
老芋头.麻辣拌,麻辣烫(红汤),1.78元/50克,红汤麻辣浓郁，麻味柔和不呛口，荤素自选，入味十足。
老芋头.麻辣拌,麻辣烫(酸辣金汤),1.78元/50克,金汤酸爽开胃，鲜辣清爽，解腻，适合喜欢酸辣口的同学。
老芋头.麻辣拌,麻辣拌,1.78元/50克,干拌酱汁浓郁，酸甜麻
四季轻食,经典鸡扒大满配,14.9元,荤素搭配丰富，鸡排香嫩，蔬菜新鲜，低卡饱腹，减脂首选
四季轻食,自选健康餐,18元/50克,菜品种类多，可自由搭配，少油少盐，食材清爽，适合控卡
四季轻食,杂粮饭,2元,口感扎实，粗粮香气足，饱腹感强，替换白米饭很合适
营养快餐,蒜蓉青菜,2元,清爽解腻，蒜香浓郁，口感脆嫩，素菜性价比高
营养快餐,清炒土豆丝,2元,酸辣爽口，土豆脆，下饭神器，平价首选素菜
营养快餐,麻婆豆腐,2元,麻辣鲜香，豆腐嫩滑，汤汁拌饭超香
营养快餐,手撕包菜,2元,咸香微辣，脆爽入味，少油，很下饭
营养快餐,炒大白菜,2元,清淡鲜甜，软嫩，口味温和，不吃辣友好
营养快餐,白油冬瓜,2元,清淡水润，软嫩，低脂，适合想吃清淡的同学
营养快餐,包菜粉丝,3元,咸香入味，粉丝吸满汤汁，简单好吃
营养快餐,鱼香茄子,3元,鱼香味浓郁，软糯入味，偏油，拌饭很香
营养快餐,干锅花菜,3元,干香带微辣，花菜脆，锅气足
营养快餐,水煮蛋,3元,蛋白紧实，蛋黄绵密，补充蛋白质
营养快餐,西红柿炒鸡蛋,3元,酸甜可口，经典家常菜，汤汁拌饭一绝
营养快餐,黄瓜火腿,4元,清爽咸香，口感简单，荤素搭配，口味清淡
营养快餐,荷包蛋炒辣椒,4元,蛋香浓郁，辣椒提味，简单下饭
营养快餐,香菇炒西蓝花,4元,菌香清新，西兰花脆嫩，低脂健康
营养快餐,胡萝卜炒肉,4元,胡萝卜清甜，肉片鲜嫩，咸淡适中
营养快餐,西葫芦炒肉,4元,西葫芦软嫩，肉香足，口味清淡不腻
营养快餐,宫保鸡丁,5元,酸甜微辣，花生香脆，鸡丁嫩滑，经典下饭
营养快餐,鱼香肉丝,5元,鱼香味道浓郁，肉丝软嫩，配菜丰富，拌饭首选
营养快餐,土豆烧排骨,5元,土豆软糯，排骨入味，汤汁醇厚
营养快餐,海带排骨,5元,汤鲜味浓，海带软，排骨香，口味清淡
营养快餐,三杯鸡,5元,酱香浓郁，鸡肉紧实，咸甜适口
桔校炸鸡腿,炸鸡腿2个,9.9元,外皮酥脆，鸡肉嫩，腌制入味，一口爆
桔校炸鸡腿,肉排,6元,外皮金黄酥脆，鸡腿肉饱满多汁，草本香气浓郁
桔校炸鸡腿,香骨肉,12元, 脆骨搭配鸡肉，口感有嚼劲，越嚼越香
桔校炸鸡腿,黄金大鸡腿,7元,外皮薄脆，肉紧实弹牙，咸香入味，解馋小食
桔校炸鸡腿,黄金鸡翅膀,4元,外皮酥脆，肉质鲜嫩多汁，草本香料入味，香而不腻
小酱.外婆拌饭,特色香辣拌饭,自选,香辣清爽，辣味柔和，配菜新鲜，拌饭简单饱腹，吃起来很满足。
小酱.外婆拌饭,秘制五香拌饭,自选,口味温和不辣，醇厚肉香，咸鲜酱汁，适合不能吃辣的同学，口味稳妥清淡。
小酱.外婆拌饭,飘香干锅拌饭,自选,干锅香气突出，口感干香，配菜脆爽，咸香适口，油腻感低，口感层次丰富。
小酱.外婆拌饭,招牌麻辣拌饭,自选,店铺招牌，麻辣鲜香，酱汁浓郁，肉料分量足。拌匀后每一粒米饭都裹满料汁，开胃解馋。
小酱.外婆拌饭,风味烧烤拌饭,自选,自带烧烤独有的焦香气息，咸香不腻，肉粒紧实，风味浓郁，偏爱烧烤风味可以选这款。
小酱.外婆拌饭,爆香辣卤拌饭,自选,卤香厚重，香辣入味，配菜种类丰富，汤汁拌入米饭，软糯香浓，辣度友好，很下饭。
